"id","time","time_stamp","list","age","lp","doe_catalan","doe_spanish","edu_parent"
"56388",1,2020-04-05,"BL-Short-D",17.3798767967146,"Monolingual",1,0,"University"
"56394",1,2020-06-03,"BL-Short-A",19.2854209445585,"Monolingual",0.2,0.8,"University"
"56398",1,2020-05-07,"BL-Short-A",18.3983572895277,"Bilingual",0.4,0.6,"University"
"56399",2,2020-11-30,"BL-Lockdown-C",25.1991786447639,"Monolingual",0.95,0.05,"University"
"56399",1,2020-05-23,"BL-Short-C",18.9240246406571,"Monolingual",0.95,0.05,"University"
"56405",1,2020-04-02,"BL-Short-A",17.1827515400411,"Bilingual",0.6,0.3,"University"
"56415",1,2020-06-16,"BL-Short-B",19.5482546201232,"Monolingual",1,0,"University"
"56431",1,2020-05-17,"BL-Short-A",18.5626283367556,"Bilingual",0.75,0.25,"University"
"56444",1,2020-05-20,"BL-Short-B",18.4312114989733,"Monolingual",0.8,0.2,"University"
"56450",2,2020-11-26,"BL-Lockdown-D",24.6406570841889,"Bilingual",0.6,0.4,"University"
"56458",2,2020-05-29,"BL-Short-B",18.5626283367556,"Bilingual",0.6,0.4,"Vocational"
"56464",1,2020-05-25,"BL-Short-B",18.4312114989733,"Monolingual",0.05,0.95,"University"
"56465",2,2020-12-03,"BL-Lockdown-C",24.7720739219713,"Bilingual",0.3,0.7,"University"
"56465",1,2020-07-01,"BL-Short-C",19.6796714579055,"Monolingual",0.2,0.8,"University"
"56470",1,2020-04-08,"BL-Short-B",16.8542094455852,"Monolingual",1,0,"University"
"56476",1,2020-06-11,"BL-Short-B",18.8911704312115,"Bilingual",0.5,0.5,"No education"
"56477",1,2020-04-01,"BL-Short-C",16.5256673511294,"Bilingual",0.6,0.4,"University"
"56481",1,2020-07-02,"BL-Short-A",19.5811088295688,"Monolingual",0.2,0.8,"Vocational"
"56485",1,2020-04-18,"BL-Short-D",20.829568788501,"Monolingual",0.8,0.2,"University"
"56514",1,2020-04-14,"BL-Short-C",27.006160164271,"Bilingual",0.75,0.25,"University"
"56517",1,2020-05-30,"BL-Short-D",18.2669404517454,"Bilingual",0.5,0.5,"University"
"56518",1,2020-04-06,"BL-Short-D",16.4599589322382,"Bilingual",0.5,0.5,"University"
"56521",2,2020-11-25,"BL-Lockdown-A",24.1478439425051,"Bilingual",0.25,0.75,"No education"
"56521",1,2020-06-12,"BL-Short-A",18.694045174538,"Bilingual",0.65,0.35,"Vocational"
"56522",1,2020-04-02,"BL-Short-A",16.3285420944559,"Bilingual",0.4,0.6,"University"
"56523",2,2020-11-26,"BL-Lockdown-C",24.082135523614,"Bilingual",0.5,0.4,"Vocational"
"56523",1,2020-05-28,"BL-Short-C",18.1026694045175,"Bilingual",0.65,0.35,"Vocational"
"56527",1,2020-04-07,"BL-Short-C",16.3613963039014,"Monolingual",1,0,"University"
"56528",2,2020-12-12,"BL-Lockdown-C",24.5420944558522,"Bilingual",0.7,0.3,"University"
"56528",1,2020-04-16,"BL-Short-C",16.6570841889117,"Bilingual",0.6,0.4,"University"
"56540",1,2020-05-31,"BL-Short-B",18.1026694045175,"Bilingual",0.5,0.4,"University"
"56550",1,2020-05-12,"BL-Short-C",17.3141683778234,"Monolingual",0,1,"University"
"56559",1,2020-07-16,"BL-Short-B",19.4168377823409,"Bilingual",0.4,0.6,"Vocational"
"56563",1,2020-06-01,"BL-Short-D",17.8726899383984,"Bilingual",0.4,0.6,"Secondary"
"56570",1,2020-06-21,"BL-Short-A",18.4312114989733,"Bilingual",0.3,0.7,"University"
"56578",1,2020-06-29,"BL-Short-D",18.6283367556468,"Bilingual",0.4,0.6,"Vocational"
"56618",1,2020-07-13,"BL-Short-D",18.7926078028747,"Bilingual",0.5,0.5,"Vocational"
"56620",1,2020-04-30,"BL-Short-C",16.3285420944559,"Bilingual",0.4,0.6,"Vocational"
"56622",1,2020-05-23,"BL-Short-B",17.0841889117043,"Monolingual",1,0,"University"
